1,<b>Graymold</b> :  A bland-looking, bitter-tasting, flat-gray mold, often hard to find because it blends with the coarse granite it's known to grow on. Found only in deep, dank caves, the stuff is a powerful healing and purifying agent, used often for both healing flesh wounds and disease. 
1,<b>Silveroak</b> :  A spectacularly rare tree that is the silver lining on any cloud of a deep, deadly forest. It towers like the tallest oak and its branches are stronger than most any other tree in the world. Any bow or wooden tool made from the tree counts as +1 to attack and damage, on top of any additional bonuses.
1,<b>Platinum bar (or any other metal)</b> :  A strange disease, not readily identifiable, accompanies this metal (known in later years as radiation poisoning). Those who carry or are in constant close proximity to it must make a Fortitude check each week, with a DC equal to the number of weeks of exposure. The DC can be increased or decreased depending on the danger desired. Those who fail the check begin taking CON damage (NOT temporary) due to the rotting disease. Their flesh literally begins to turn to mulch, etc. 
1,<b>Gloranthan Copper</b> :  A strange copper-like metal that is ideal for forging armor and weapons of all sorts. Found in bars or ancient equipment or mined, the copper is reddish and melts at a cooler temperature than normal copper, yet is harder still when completely cooled (comparable to iron). It's more resilient to elements (except heat) than normal copper. 
1,<b>Snowy white cloak</b> :  woven from a Unicorn's mane. 
1,<b>Salve (no magical properties)</b> :  which repels stinging insects. 
1,<b>Sun Stones</b> :  These look somewhat like gold, but gain a slightly more translucent and mellowed hue of yellow and usually take the shape of palm-sized skipping stones. For each hour they are exposed to direct sunlight, they can produce 10 minutes of light as bright as an oil lamp, prompted by vigorous rubbing. Each stone can hold 3D6x10 minutes worth of sunlight. 
1,<b>Paper, High Quality</b> :  The sheets in this heap of paper are very thin, and yet as strong as any non-magical sheet. They weigh less than 1/20 of contemporary paper. 
1,<b>Marked Money</b> :  A sizable quantity of gold coins that have an ominous, reddish tinge to them. Each surface of the coins has been minted / carved / marked with faces of demons, symbols of evil rulers, words in monster cants, pictures of vile acts etc. Each coin is also of an unusual shape. Large denomination ones are perhaps gems with engraved metal bands around then. Tetrahedron coins, spherical coins, triangular ones.. options abound, and depend on the beliefs and symbolism of the area. <BR><BR>This cash is Hell Gold. It is well known in the area. It is reputed to be cursed, and using, even possessing any is very illegal. Anyone trying to trade in it marks himself as a villain or worse. As a result, unless the coins are reclaimed from some truly wicked source, they are not stored away as treasure. Some may have been thrown away as trash. Some may have been used in religious ceremonies or ornaments to scare people. And yet they are coins, as well as gold. The reddish tinge (gold-copper alloy?) can be removed by a skilled metallurgist. Some money changers may accept hell gold, though of course at a significantly reduced rate.. and in some circles, Hell Gold is the preferred, or even the only accepted currency. Money can have a story of its own. Less exotic options abound, groups that trade only or preferably in certain kinds of currency. Money with plot hooks. 
1,<b>Sword of Steel...or Steel as Sword?</b> :  An item with multiple meanings. Someone may see the Sword of Wolfgaard as a unique relic with political significance...just the thing to give to the ambassador of the current rulers of Wolfgaard to seal an alliance or secure a pact, which is why the king's agents seek to acquire it by hook or by crook. <BR><BR>For another, it is simply a weapon. Yet another sees in it the odd design, which hints at the legendary swordsmith Graedel, so the blade may have been made by one of his apprentices, yet there is other influences to its design as well, which may shed light to the fate of Graedel. <BR><BR>For someone else, the sword is a key - both a map and a key in the literal sense - to the lost keep of Wolfgaard. It may be seen as the sign for people of Wolfgaard that the time to throw away the yoke of oppressors has arrived. And yet another finds it odd that the blade is effective in battle though the blade does not appear to be sharp. Perhaps this is due to its enchantments.. or its material.. or the combination of the two.. so taking it apart is necessary. Combine any two roles for a single piece, and it becomes much more than just a sword.
1,<b>A polished wooden case</b> :  containing silkworm eggs, mulberry seeds, and a treatise on the production of silk. Value: Nearly infinite to a culture which does not produce its own silk. Risk to PCs: A culture which has a monopoly on the silk trade will take extreme measures to protect its monopoly. 
1,<b>The PC's who normally use block and tackle to make fire</b> : , find it's a very uncomfortable way of making fire taking them some minutes. Suddenly, they encounter a little box filled with little sticks with a funny thing in one end, out of curiosity, they rub it and it lights up!! now they treasure a box of matches more than their dagger+5 because it makes fire faster than they ever thought. 
1,<b>Salamander Egg Tea Cups</b> :  8 cups that never allow the heat to radiate out or burn the drinker. I ran a game where the climax had the party discover a dragon's egg incubating in lava. When the egg hatched, one of the party kept the pieces. We never did anything with them, but anything that can hold off lava could coat the space shuttle. 
1,<b>Lantern Stone</b> :  This material is thought to be a by- product of volcanic eruptions, as deposits of it are often mined from the slopes of long-dormant volcanos. It breaks easily into rough one inch cubes. If it allowed to soak for eight hours in a pint of lantern oil, chemicals in the stone enhance the oil's burning property. It increases the light output of the flame from the oil by about a third (a common lamp will illuminate 20 ft radius, a hooded lantern will illuminate a forty foot radius, and a bull's-eye lantern's cone will be about 27 feet at the end and extend to 80 feet.) The oil lasts the same amount of time. Once a stone has enhanced 10 pints of oil, the chemicals that cause the enhancement are too diluted to do further good. It has no discernible effect on Greek fire. One stone typically fetches about 5 gp and weighs one pound. 
1,<b>Technology</b> :  that the characters don't know how to use (preferably harmless, unless you are a particularly mean GM ;). They players typically will say: "cool a Gatling gun, I'll point it at the bad guys and pull the trigger". This is a bad idea if they don't even know which way the gun is supposed to point. "A huge terrifying racket rings out and when the smoke clears the orcs are still charging you down, looking behind, you notice that the wizard is lying on the ground soaked in blood".
1,<b>Patent notices</b> :  If the world is bureaucratic enough then this notice could make the character very rich going around the country and suing everyone that put a parapet on the top of their castle walls. 
1,<b>Technology Blueprints</b> :  better ways to mix metals -better ways to mine and refine - finding an uninhabited plane - training. 
1,<b>What's better than stretching</b> : out before a roaring fire on a bearskin rug? How about stretching out on a rug made from the luxurious pelt of an owlbear? Sure they're foul- tempered and mean, but, when their hides are properly cured by an expert Tanner (DC 30 to get it just right), they embody all the softness and thickness of down with the warmth and size of bearskin. A well-made owlbear-skin rug could fetch as much as 200gp easily, maybe 300gp if a taxidermist stuffs the head and leaves it attached. 
1,<b>For the higher tech RPGs out there such as Shadowrun</b> :  Ammo. Do you know how hard it is to get armor piercing ammo? Perhaps the fence you usually use is fresh out of cash, but he's got two clips of the best ammo known to man. <b>Big guns</b>: Maybe the ghoul nest you take out (or make a deal with) has been holding on to this heavy machine gun....oops, where are you going to get heavy machine gun ammo? <b>SOTA cyberware</b>. Great, you've just "liberated" the paydata, and someone found a nifty sealed case on the way out. Perhaps it has the new cranial tactical computer that'll really give your team the edge....who's going to install it? 
1,<b>A Clock</b> :  Rare mechanical device, treasure that always knows what time it is. Brittle. 
1,<b>An exclusive modern-day set of kitchen knives</b> :  High quality. Limited combat use though. 
1,<b>Guardian Angel</b> :  These armors are extremely rare and are found almost exclusive at the hands of great military leaders or extremely rich collectors. For these armors are truly a gift from the heaven. The metal used to create these armors comes from the metals that have merged when meteors have smashed the earth. <BR><BR>Some call it Mithrill and fancies the dwarven smiths who are the only who can manage such metals. Nevertheless, a Guardian Angel isn't just the hardest, most resistant armor in the world, it's also the most beautiful, many say. In sunlight it shines of glory and many soldiers have been inspired by its wearer to fight glorious battles before he dies. <BR><BR>One of the most extraordinary features of the Guardian Angel, is its lightness. You could wear a full plate created of Mithrill and it would feel like wearing a leather armor. But due to the dwarven magic used to create such wonderful armors, it also makes it impossible to cast spells in such armors. It simply can't be done. 
1,<b>Druskan drinking horn</b> :  Straight from the deeper Kuri Steppes, this drinking horn is made from the tusk of the Drahza beast, the beast that all Druskan boys must hunt to achieve their coming of age. The Horn itself is of a fabulous bleached white. As it continues to taper it also spirals around, the horn can be set on any flat surface due to this natural spiraling of the Drazha beast. It is said this was the drinking horn of Kudras himself, quite a legendary figure in Druskan folklore. Its brim is fitted with a bronze ring, which is connected to a bronze inlay that stretches across the horn's surface in the shape of fingers of fire. An assortment of gems is also encrusted within the blaze. The value of this horn is at least 4000 Imperial Marks but its current owner, Marius Kohan, refuses to sell no matter the price. 
1,<b>Axehead, stone</b> :  This head for a woodcutter's axe was made a few thousands years ago. It is quite fragile compared to iron or steel, made of flint as it is. 
